,Transljteratjon,Translation
250,m kw wj pr .kj,Behold: I am ascended .
251,Aw .f n .f a .wt .f j .xm .wt sk jmjt X .t mw .t .f nw .t,Let him stretch out his imperishable limbs which are in the womb of his mother Nut .
252,nkj kj X .t nw .t Xr mtw .t Ax jmj .s,Impregnate the belly of Nut with the seed of the Akh who is in her .
253,X .t njt M. pn m nw .t,The belly of Meryre is as Nut .
254, TAp r X .t .T nw .t Xr mtw .t nTr jmwt .T ,"A pressure is at your womb, O Nut, through the god’s seed which is in you ."
255,wnwn .T m X .t mw .t .T m rn .T nj nw .t,"You moving in the womb of your mother, in your name of ‘Nut .’"
256,nHb W. kA .w nHm .f kA .w,Let Unas bestow Kas; let him take away Kas .
257,nHb .f kA .w nHm .f kA .w,"Just as he bestows Kas, so does he take away Kas ."
258,nHb .n .f kA .w .Tn,He having bestowed your Kas .
259,nHb Ne. kA .w,Neferkare bestow Kas .
260,nHm .f kA .w nHb .f kA .w,Taking away Kas and bestowing Kas .
261,j .msA kw jr .f,Betake yourself to him!
262,j .msA kw jr .j,Betake yourself to me!
263,j .msA kw jr gbb,Betake yourself to Geb!
264,sA .k S,May you beware the lake .
265,sA Tw S wr,Beware the great lake!
266,Xn j .pH sA Tw S wr,"Row, reach, and beware the great lake!"
267,sA Tw S wr,Beware the great lake!
268,sA Tw S wr pw jr Ax .w xns pw jr mwt .w,Beware this great lake against the Akhs and this Khenes lake against the dead!
269,sp .sn sxn .wj n M.n,Let them lash together the two reed boats for Merenre .
270, smA .y mXn .wt M.n n sA j .tm Hqr jby jby Hqr m pn gs rsj nj mr nxAj ,"Put together are the ferryboats of Merenre, for the son of Atum, hungry and thirsty, thirsty and hungry, on this southern side of the shifting waterway ."
271,smA .n n .f Hr .f HA .f mSn .tj nj mr nxAj,"For Herefhaf, ferryman of the shifting waterway, has put it together for him ."
272, smA .y mXn .wt n sA j .tm ,Assembled are the ferryboats for the son of Atum .
273,Ts .s n .k qs .w .k dmD .s n .k a .wt .k sAq .s n .k jwf .k,"That it bind up your bones for you, gather together your limbs for you, collect your flesh for you ."
274,Ts n .k qs .w .k dmD n .k a .wt .k,Your bones have been bound up for you: your limbs have been united for you .
275, sn .tj .kj wr .tj HkA .w sAq .tj jwf .k Ts .tj a .wt .k j .sxa .tj jr .tj .kj m tp .k msk .tjt manD .t,"As for your two sisters, the two greats of magic, who collect your flesh, who bind up your limbs, who make your eyes appear in your head, the night bark and the day bark ."
276,Ts qs .w .f m wsjr,His bones having been bound up as Osiris .
277,Ts qs .w .f m wsjr,His bones having been bound up as Osiris .
278,m k r r sw msy m k sw Ts m k sw xpr,Behold: he is born . Behold: he is tied together . Behold: he has come into being .
279,Ts qs .w Ne. wt,Let the bones of Neferkare be bound up enwrapped .
280,Ts .s n .k qs .w .k dmD .s n .k a .wt .k sAq .s n .k jwf .k,"That it bind up your bones for you, gather together your limbs for you, collect your flesh for you ."
281,sAq .T qs .w T.,And collect the bones of Teti .
282, sn .t .k wr .t sAq .t jwf .k qfn .t Dr .wt .k sxn .t Tw ,Your eldest sister is she who
283,sAq .j n .k nb .t .k,That I collect your loose parts for you .
284, sn .tj .kj wr .tj HkA .w sAq .tj jwf .k Ts .tj a .wt .k j .sxa .tj jr .tj .kj m tp .k msk .tjt manD .t,"As for your two sisters, the two greats of magic, who collect your flesh, who bind up your limbs, who make your eyes appear in your head, the night bark and the day bark ."
285,dmD qs .w Ne. n .f sAq n .f a .wt .f,"Who gathers together the bones of Neferkare for him, and gathers his limbs for him ."
286,jab .n n .k Hr a .wt .k,Horus has joined your limbs to you .
287,jab .n n .k Hr a .wt .k,Horus has joined your limbs to you .
288,jab .s n .k qs .w .k,Let her join your bones to you .
289,jab .s n .k qs .w .k,Let her join your bones to you .
290,jab n .k qs .w .k Ssp n .k tp .k,Join your bones to yourself ! Receive your head!
291, Ssp n .k tp .k jab n .k qs .w .k ,Receive your head! Join your bones to yourself !
292,jab n .k a .wt .k,Join your limbs to yourself !
293,fnD .k m sAb,Your nose is a jackal .
294,rmn .wj .kj m wpj .w,Your arms are Wepiu .
295,HA .t .k m sAb,Your front is a jackal .
296,rd .wj .kj m sAb,Your feet are a jackal .
297,HA .t .k m sAb,Your front is a jackal .
298,n xpr .t P.t n xpr .t tA,"With the sky not yet existing, the earth not yet existing ."
299,ms .t n xpr .t SnT.t ms .t n xpr .t Xnn .w,"Which was born before strife had come into being, which was born before discord had come into being ."
300,n xpr .t P.t n xpr .t tA,"Before the sky had come into being, before the earth had come into being ."
301,wTs .sn Tw,That they may lift you up .
302,f A .sn Tw,While raising you up .
303,f A sw,Lift him up!
304,f A jt .Tn wsjr P. pn,Lift up your father Osiris Pepi!
305,f A .Tn sw,With you lifting him up .
306,wTs .sn kw,Let them upraise you .
307,f A .Tn sw,And you lift him up .
308,Ts .n Tw ms .w ms .w .k twt Hp jmstj dwA mw .t .f qbH sn .w .f jr .w .n .k rn .w .sn twt ,"Together have the children of your children raised you, Hapy, Imseti, Duamutef, Qebehsenuef, whose names together you made ."
309,wTs .sn Tw,Let them raise you up .
310,j Hfd .w j Hfd .w,The climber comes: the climber comes .
311,Hfd .k jAd .k jAxw,"May you climb, may you mount up the sunlight ."
312,j Hfd .w j Hfd .w,The climber comes: the climber comes .
313,Hfd .n Nt . Hr DnH xprr,Neith has climbed up upon the wing of Kheprer .
314, jn Nt . m Hfd .t r pr wp .t psD .wt ,"It is Neith climbing to the house, to judge the Enneads ."
315,D .t jr P.t,Let the cobra be for the sky .
316,D .t r P.t,Let the cobra be for the sky .
317,D .t r P.t,Let the cobra be for the sky .
318,jw .T jr P.t,You are for the sky .
319,D .t jr P.t,Let the cobra be for the sky .
320,jsA .sn Xr .k,That they may set out bearing you .
321,jsA Tn Xr wsjr M. pn,Set out while bearing Osiris Merire!
322,jsA Tn Xr Ne.,Set out bearing Neferkare!
323, jsA Tn Xr Ne.,Set out bearing Neferkare!
324, j .y m Htp jr .k T. n jt .k j .y m Htp jr .k n ra ,"Come in peace, O Teti, to your father; come in peace to Re!"
325, my m Htp n wsjr jj m Htp jr .k n wsjr ,Come in peace to Osiris! Come in peace to Osiris!
326,my m Htp jr .k n wsjr,Come in peace to Osiris!
327,my m Htp jr .k n ra,Come in peace to Re!
328,my m Htp jr .k n psD .tj,Come in peace to the two Enneads!
329,j .tj n bA .k,Come to your Ba!
330,jw .t .k xr .j,And come to me .
331,jw .t .k jr qd .k,But come to your form .
332,Sm n .k jw n .k,Go! Come!
333, my anx anx .k nn m tr .k m tr .k m rnp .wt jptn Htp .tj ,"Come! Live your life here from season to season in these years, you being satisfied ."
334,j,Come!
335,my r .k Hr .sn m rn .k pw nj mHy .t,"Come upon them, in this your name of ‘Mehyt .’"
336,my n .f my n .f,Come to him! Come to him!
337,mj Dd T,Come likewise!
338,j .Sm .k jw .t .k,May you go and may you come .
339, j n .k Ne. pw m jwnw ,"Come, O Neferkare, from Heliopolis!"
340, Dd mdw sp 4 my pr .tj n .k xrw,"Recite four times . Come, and let the voice be sent forth to you!"
341,my wnx .k n .k jr .t Hr wDA .t jmjt tAj .t,Come and don the whole eye of Horus
342,j,Come!
343,jw,Come!
344,nm .n T. p DA .n .f knm .wt,Teti has traversed Buto: he has crossed Kenmut .
345,pr .n P. m p xr bA .w p,From Buto with the Bas of Buto has Pepi gone forth .
346,pr .n M.n m p xr nTr .w P.jw,From Buto with the gods of Buto has Merenre gone forth .
347,jw .n Ne. m p dSr sD .t,"Neferkare has gone forth from Buto, red of flame ."
348,j .n Ne. m p dSr sD .t,"Neferkare has gone forth from Buto, red of flame ."
349,j .n .f n .k jw .n .f n .k,He has come to you: he has come to you!
350,j .n W. xr .k,To you has Unas come .
351,jw n .k P. pn n anx,"When Pepi comes to you, for life ."
352,j .n M. xr .k,To you has Merire come .
353,jwr .j W. m grH,Unas being conceived in the night .
354,j .jwr nr .t m M. m SsA .t r ab .T,The vulture is pregnant with Merire in the night sky with you fem . .
355,jwr nr .t m Ne. m SsA .t r ab .T,The vulture is pregnant with Neferkare in the night sky with you fem . .
356,T. pw jr .t tw njt ra sDr .t jj .tj ms .tj ra nb,"Teti is this Eye of Re, which passes the night, conceived and born every day ."
357,DA .tj,Cross!
358, DA .k m kA wr jwn wAD .t jr sx .wt ra mrr .t .f ,"May you cross as the great bull, pillar of the serpent nome, to the field of Re which he loves ."
359,DA .k kA wr jr sx .wt wAD .t r s .wt ra wab .t,"May you cross, O great bull, to the green field, to the pure places of Re ."
360,DA .n T. m mXn .t wr .t,Teti has crossed by the great ferryboat .
361,DA .f jm xr Hr Ax .tj xr ra,"That he cross thereby to Harakhti, to Re ."
362,j .n W. xr .k DA .k sw m mXn .t tw DAA .t .k nTr .w jm .s,"Unas has come to you, even that you ferry him in this ferryboat in which you ferry the gods ."
363,DA Ne.,Ferry Neferkare!
364,DA sw,Ferry him!
365,DA .f bjA n anx wAs,"And cross the distant realm, for life and dominion ."
366,DAy P. pn,Ferry Pepi across!
367, DA sw jr sjn jr tA smA nj sx .t tw njt jr .t nTr .w ,Ferry him quickly to the landing place of this field of that which the gods made!
368,j DA jwj mAa mXn .tj nj sx .t jAr .w ,"O one who ferries the true stranded one, O ferryman of the field of rushes ."
369,DAy M.n jm .f,Let Merenre cross by it .
370,DA .k sw m S pn,And ferry him in this lake .
371, DA sw DHwtj m tp anD .k skr js xntj mAa .t ,"Ferry him, O Thoth, on your wingtip, he being as Sokar, foremost of the Ma’at boat!"
372,DA .snj sw,Let them ferry him .
373,hA .j DA .j,Let me board and cross .
374,DA .k M.n,And ferry Merenre across .
375,DA n .f nw,Ferry this for him!
376,DA .f Hna .Tn,He will cross with you .
377,DA P. pn,That Pepi cross.
378, DA .f jm jr Ax .t xr ra ,"That he cross thereby to the horizon, to Re ."
379, DA .f jm jr Ax .t xr Hr Ax .tj ,"That he cross thereby to the horizon, to Harakhti ."
380, DA .f jm r Ax .t xr ra xr Hr Ax .tj ,"That he cross thereby to the horizon, to Re, to Harakhti ."
381,DA .f jm .sn jr Ax .t xr Hr Ax .tj,"That he cross by them to the horizon, to Harakhti ."
382, swt sDA .w .f P. pn jr gs pf Ax .t ,"He is the one who will ferry Pepi to that side, the horizon ."
383,DA .f xr .f jr Ax .t,"When he crosses to him, to the horizon ."
384,DA .f jr qbHw,That he cross to the firmament .
385,DA T. Hna .Tn tp DnH DHw .tj jr pf gs nj mr nxAj jr gs jAb .tj nj P.t,"Teti would cross with you upon the wing of Thoth to that side of the shifting waterway, to the eastern side of the sky ."
386,my DA T. jr pf gs mr DA .t .k Sms .w .k wng mrr .w .k,Come! Ferry Teti to that
387,sDA P. pn m gs jAb .tj nj P.t,Let Pepi travel in the eastern side of the sky .
388, DAy Ne. jm xr ra jr Ax .t ,"That Neferkare cross thereby to Re, to the horizon ."
389,DAy .f r .f xr ra jr Ax .t,"That he thus cross to Re, to the horizon ."
390,Sm .f jm jr Ax .t xr ra,"That he may go thereby to the horizon, to Re ."
391, sDA .f jr gs pw ntj j .xm .w sk jm ,That he may travel to that side where the imperishable stars are .
392,DA .f jm jr Ax .t jr bw ms .w nTr .w jm,"That he cross thereby to the horizon, to the place where the gods are born ."
393,sqd Hr jm .f Hna .f jr Ax .t,Let Horus sail in it to the horizon .
394, DA P. pn jm r Ax .t jr bw n m r m ,"So that Pepi may cross thereby to the horizon, to the place."
395, DA .sny jt .j wsjr P. jr gs pf jAb .tj nj P.t ,That they ferry my father Osiris Pepi to that eastern side of the sky .
396,Abxx n .k a .wj rww n .k rd .wj DAm n .k Dr .wt,"Arms will be linked for you, legs dance for you, and hands clap for you ."
397,n rd .wj .kj sqr .snj HAb .k,For your feet stamp your ceremony .
398,rwj n .k bA .w p,With the Bas of Buto dancing for you .
399,sqr wAS .tjw a .wy .snj r rd .w s .t .k,With the mighty ones clapping their hands before your place .
400, rd .wj .kj sqr .sn n .k rw .t .sn ,Your legs stamp out for you their dance .
401,rww n .k rw .t,The dance being danced for you .
402,jbA n .k wrS .w,With your watchers dancing for you .
403,rjw n .k bA .w p,The Bas of Buto dance for you .
404, rjw n .k a .wy DAm n .k rd .wj ,"Hands dancing for you, feet stamping for you ."
405,sqr a .wj j .HA rw .t,Let hands clap and dancing stamp .
406, nj jp t qs .w nj smn .t Tbw .wt ,"Of the reckoning of bones, of establishing sandals ."
407, jr n .f jr .t n jt .f wsjr hrw pw nj Ts qs .w ,Do for him what was done for his father Osiris on that day of binding the bones!
408, jr n .f nw jr .n .k n sn .f wsjr hrw pw nj jp qs .w ,Do for him this which you did for his brother Osiris on that day of reckoning bones!
409,m gAw m aS .w,Do not lack; do not cry out!
410,jmj .k aS .w,May you not cry out .
411,jmj .k aS .w,May you not cry out .
412,jmj .k aS .w,May you not cry out .
413,m Hm gAw m Hm aS .w,Do not lack; do not cry out!
414, n wnm .n .f bw .t nwj mj twr stS mwt ,"He cannot eat what is detested, these two things, just as Seth rejects poison ."
415,bw .t W. pj Hqr n wnm .n .f sw,Hunger is what Unas detests; he cannot eat it .
416,n swr .f sj,He will not drink it .
417,n wnm .f,He will not eat it .
418,n wnm .n Ne. DAs,Neferkare not eating the Djas plant .
419,m rDj j .xm Tw T.,Do not let Teti forget you!
420,n xm .f Htp Dj,He will not forget the offering which is to be given .
421,n xm Ne. mw .t .f,Neferkare has not forgotten his mother .
422,n xm .j rn .k,I am not ignorant of your name .
423,m gAw m aS .w,Do not lack; do not cry out!
424,jmj .k gAw,That you not lack .
425,n gAw .k,Even that you not lack .
426,n gAj .w .k,Even that you not lack .
427,xwj .s gAw .k,Even that she prevent that you lack .
428,jmj .k gAw,May you not lack .
429,m gA,Do not lack!
430,jmj .k gAw,That you not lack .
431,m Hm gAw m Hm aS .w,Do not lack; do not cry out!
432,n rDj .n .f snw .k,Not permitting that you suffer .
433,n rDj .n Hr snw .k,Horus not permitting that you suffer .
434,n swnw jwf .k,And your flesh not sicken .
435,jmj .k nsn,May you not suffer .
436,n Dj .j snw .k,I will not permit that you suffer .
437,jmj .k nsnsnw,May you not suffer .
438,n swn P. pn D .t,Never will Pepi suffer .
439,nxbxb qAn .wt .s,Its bolts slid back .
440,snxbxb n .k s .w wr .w,The great bolts are made drawn for you .
441,wn .j n .k s m sr .wj xsf .wj rx .wt,For you is opened the bolt from the gate which keeps out the people .
442, wn n .k s m sr .wj xsf .w THnw1190 ,Open the doorbolt of the gate which keeps Libya out .
443,wn .k s m sr .wj xsf .w fnx .w,May you open the doorbolt of the gate which keeps out the Fenekhu .
444,snxbxb .w n .k s .w,The doorbolts are drawn for you .
445,wn n .k aA .wj Akr ssn n .k aA .wj gbb,The doors of Aker open to you; the doors of Geb spread open to you .
446,wn rw .t Akr,The gate of Aker is opened .
447,wn n .k rw .t Akr sn n .k aA .wj gbb,The gate of Aker opens to you; the doors of Geb spread open to you .
448,wp n .k rA nj tA,The mouth of the earth is opened for you .
449, j .wn jw .t jw .s aA .wj Ax .t n pr .w manD .t ,When Yutyus opens the doors of the horizon for the ascent of the day bark .
450,j .sn aA .wj qbHw n Hr nTr .w m tpj hrw,Spread open are the doors of the firmament for Horus of the gods at dawn .
451, j .sn aA .wj qbH n Hr nTr .w ,The doors of the firmament are spread to Horus of the gods .
452, j .sn .y aA .wj qbH tp a .wy nTr .w,The doors of the firmament are spread open before the gods .
453,j .sn .y aA .wj qbHw n Hr jAb .tj jr tpj hrw,The doors of the firmament are spread open to Horus of the east at dawn .
454,j .sn .y aA .wj qbH n Hr nTr .w,The doors of the firmament are spread open for Horus of the gods .
455,aHa .k r aA .w xsf rx .wt,And stand at the doors which keep out the people .
456,j .sn n .k aA .wj qbHw jpw xsf .w rx .wt,"The doors of the firmament are spread open for you, these which keep out the people ."
457,wn .j n .k s m sr .wj xsf .wj rx .wt,For you is opened the bolt from the gate which keeps out the people .
458, wn n .k s m sr .wj xsf .w THnw1193 ,Open the doorbolt of the gate which keeps Libya out .
459,wn n .k aA .w xsf .w rx .wt Dd .tj n D .t D .t,"The doors which keep out the masses are opened to you, even with you enduring for ever and ever ."
460,wn .j n .f rw .t xsf .t,But opening for him the excluding gate .
461,wn .k s m sr .wj xsf .w fnx .w,May you open the doorbolt of the gate which keeps out the Fenekhu .
462,swr M.n m swr .t .k jm,Let Merenre drink of what you drink .
463, swr P. pn m swr .t .Tn jm ,Let Pepi drink of that of which you drink .
464,swr .f m swr .t .Tnj jm,That he drink of what you drink .
465, swr .t .f jm swr .f jm ,"As for that of which he Horus drinks, let him drink thereof ."
466,wp .n .f tA m rx .t .n .f hrw mr .n .f jw .t jm,For he has opened the earth through what he knows on the day on which he wished to come .
467,wn tA,The earth is opened .
468, wnm .t .f jm wnm .f jm ,"As for that of which he eats, let him eat thereof ."
469,wnm T. wnm .t tfnw .t jm,Teti eating from that from which Tefenut eats .
470,wnm M.n Hna .f m hrw pn,And Merenre eats with him sc . Aker today .
471,wnm .j jm .f Hna .sn,And let me eat of it with them .
472, wnm Nt . m Hm .t bkA .t mr jmjw jwnw ,"Even while Neith eats of the pregnant cow, like those who are in Heliopolis ."
473,wnm M.n m wnm .Tn jm,Let Merenre eat of what you eat .
474,wnm M.n m wnm .t .k jm,Let Merenre eat of what you eat .
475,wnm .f m wnm .t .Tnj jm,That he eat of what you eat .
476,gmy W. m wA .t .f wnm .f n .f sw mwmw,"As for the one whom Unas might find in his way, he will eat him, he being devoured ."
477,gmy W. m wA .t .f wnm .f n .f sw mwmw,"As for one whom Unas might find in his way, he will eat him, he being devoured ."
478, mAn .sn W. xa bA m nTr anx m jt .w .f wSb m mw .wt .f ,"Let them see Unas, appeared and a Ba as a god who lives on his fathers, who is nourished of his mothers!"
479,wnm n .f xftj .f,The one who eats his enemy for himself .
480,wnm .k n .k xpS,And eat for yourself the foreleg .
481,wnm .j a .t m xftj .k,Me eating a limb from your enemy .
482,wnm .n jH dSr nj nm .t S jr .t .n Hr n jt .f wsjr P. pn,Let us eat the red bull of the traversing the lake ritual which Horus did for his father Osiris Pepi .
483,wnm .k xpS,May you eat the foreleg .
484,baH .k n .k rDw pr m nTr HwAA .wt pr .t m wsjr,"Your flood be yours—the efflux which went forth from the god, the putrefaction which went forth from Osiris ."
485,rDw .k n .k pr m wsjr,Your efflux which went forth from Osiris be yours!
486, rDw .k n .k pr m HwAA .t wsjr ,"Your efflux be yours, that which went forth as the putrefaction of Osiris!"
487, rDw .k n .k pr m wsjr ,You have your efflux which went forth from Osiris .
488,rDw .k n .k,Your efflux be yours .
489,ja jmjw X .t .f jn jnp,His entrails have been washed even by Anubis .
490,jr rDj .tj wt Ne.,If it is caused that Neferkare is embalmed .
491,Sn n .k sw m Xnw a .wj .kj,Enclose him in your embrace!
492, m Xnw a .wj jt .f m Xnw a .wj tm ,"Even in the embrace of his father, in the embrace of Atum!"
493,Sn n .k sw m Xnw a .wj .kj,Enclose him in your embrace .
494, qbb .nn .k m Xnw a .wj jt .k m Xnw a .wj tm ,"You have become cooled, in the embrace of your father, in the embrace of Atum ."
495,d n .k a .wj .kj HA M.n HA kA .t tn HA mr pn m a .wj kA,"Put your arms around Merenre, this construction, this pyramid, as the arms of a Ka ."
496,Sn n .k nTr nb m Xnw a .wj .kj tA .w .sn jsT jS .wt .sn nb .wt jsT,"Enclose every god in your embrace, and their lands, and all their possessions ."
497,d .n .k sn m Xnw a .wj .kj mnjw bHs .w .k js,"You have put them the followers of Re in your embrace, even as the herdsman of your calves ."
498, Sn .k n .k x .t nb .t m Xnw a .wy .kj m rn .k nj dbn HA .w nb .w ,"May you enclose everything in your embrace, in your name of ‘one who goes around the Haunebu!"
499, sDr .k r .k m Xnw a .wy .fj jr Dr .w rDw .k ,Then you pass the night in his embrace until your efflux ends .
500,m Xnw a .wj .kj m rn .k nj Xn aH,"While he, Horus, is in your embrace, in your name of ‘he of the interior of the palace .’"
501,Hr nw m Xnw a .wj .kj,This is Horus within your embrace .
502, Hr xw m Xnw a .wy .kj ,Horus who protects is within your embrace .
503, jr .t Hr tn rwD .t d .j n .k sj ,"As for the enduring eye of Horus, let me give it to you ."
504,jr .t tw nn njt Hr rwD .t,This is the enduring eye of Horus .
505,rDj .n n .k Hr jr .t .f rwD .t,Horus has given you his enduring eye .
506, rDj .n Hr jn .t n .k DHw .tj xftj .k ,Horus has caused that Thoth bring you your enemy .
507, jn .n .j n .k smA kw ,To you have I brought the one who slew you .
508, jn .n .j n .k smA kw S a ,"To you have I brought the one who slew you, he being cut apart ."
509,jn .n n .k Hr stS rDj .n .f n .k sw,Horus has brought Seth to you: he has given him to you .
510,rDj .n .j n .k nw tknw,I have given you Nuteknu .
511,rDj .n .f n .k nTr .w xft .jw .k,He has given you the gods who oppose you .
512, jn .n .j n .k xftj .k Xr .k,I have brought for you your enemy under you .
513, jn mdw m rn W. Dw ,Bring the one who would speak evilly of the name of Unas .
514,rDj .n .sn n .k xftjw .k Xr .k,They having put your enemies under you .
515, rDj .n Hr jn .t n .k DHw .tj xftj .k ,Horus has caused that Thoth bring you your enemy .
516, j .Hw .k a .k jr xftjw .k rDj .w .n n .k jnp xntj sH nTr ,"And smite your hand against your enemies, whom Anubis foremost of the god’s booth, gave to you ."
517,jn .n n .k sn DHw .tj,Thoth having brought them to you .
518,kbb hjw tj .tj bj .tj,"Be restrained, O serpent, being trampled, and bound ."
519,tf j .tm jmw j .b .w skr jr pr nj mw .t .f,"O spitter who does not lament, who is bound, who would go to the house of his mother ."
520,kw kbb hjw Aw bj,Then the Hiu serpent is restrained and the Au serpent bound .
521, Hw tj j .bj ,"Who would smite, who would trample, being bound ."
522,Tjf,Run away!
523,nay nay,"Go, go!"
524,Tjf,Run away!
525,j .sj r .k,Go!
526,j .sj r .k jr .s,Go then!
527,j .sy,Go!
528,pr n .k m wxA .t,Go out into the darkness!
529,j .sy j .sy,Go! Go!
530,sy sp .tj .fj,Who is it who will survive?
531,TTw Tn,Where is the serpent?
532,mwt jt .k,Is your father to die?
533,Tn Hr pr m SnT,"Where is Horus, who went forth as the serpent?"
534,jn Twt Hr,Are you Horus?
535, jn j .n .T jr T. m db .t nHH .jwt,"Have you come to Teti, being an eternal she hippopotamus?"
536, jn jr .n .Tn jr .f Dd .n .Tn mwt .f ,"Have you acted against him, or said that he is to die?"
537,wTs .f Tw,That he bear you up .
538,wTs .f wr jr .f jm .k,Let him raise up one greater than him in you .
539,f A n .k wr jr .k,Lift up one who is greater than you!
540,wTs .f Tw,That he bear you .
541,rDj .n Hr wTs .f Tw m rn .k nj wTs wr,"Horus has caused that he lift you, in your name of ‘great lifted one .’"
542,Ts .n sw stS,Seth has raised him .
543,n Hm Sw .n stS m wTs .k D .t,With Seth indeed never free of raising you up!
544,n Hm rDj .n Swy stS m wTs .k D .t,Indeed we will prevent that Seth be free of lifting you for ever .
545, n Hm Sw .n stS m wTs wdn .w .k ,Indeed Seth cannot be free of lifting your weight .
546,sTs sw stS,Let Seth raise him up!
547,Hr .k HA .k,Your face behind you!
548,HA .k,Back!
549,HA .k,Back!
550,Hmj,Fall back!
551,rd .k HA .k,Your foot behind you!
552,pXr Tw pna Tw,Turn around; turn yourself over!
553,xt .tj xt .tj,Turn back! Turn back!
554,pXr pXr .k,Turn truly around!
555,HA .k,Back!
556,HA .k,Back!
557,xt n .k,Turn back!
558,HA .k,Back!
559,HA .k,Back!
560,HA .k,Back!
561,HA .k,Back!
562,j .aq r .k jr pr xw .t,Enter into the house of protection!
563,aq .tj m pr xw .t,Being entered into the house of protection .
564,aq .tj m pr xw .t,Being entered into the house of protection .
565,ns .t W. xr .k,The throne of Unas is yours .
566, gm .n T. ns .t .f Sw .t m wnDw .t Atj ra nj nbw ,Teti having found his empty throne in the hold of the golden bark of Re .
567,smn .f ns .t P. pn tp nb .w kA .w,With him establishing the throne of Pepi above the Possessors of Kas .
568,Hmsj .j wj Hr .s anx .t mAa .t,"Seating myself upon it, the Anekhet ma’at ."
569,Ssp .j .f n .f ns .t .f jmjt sx .t jAr .w,Let him receive for himself his throne which
570,ns .t .f n .f ,And his throne is his .
571,sSm .s sw jr s .t wr .t jr .t nTr .w jr .t Hr wtT.t DHw .tj,"She guiding him to the great seat which the gods made, which Horus made, which Thoth begot ."
572,s .t .T n sA .T s .t .k n sA .k,Your fem . seat is your fem . son’s; your masc . seat is your masc . son’s .
573,smn .n .f n P. pn ns .t jr P.t,He having set up for Pepi a throne in the sky .
574, sHD .j ns .t .j m rmn P.t ,I will brighten my throne in the side of the sky .
575, Ssp .k ns .t .k m sx .t jAr .w ,May you receive your throne in the field of rushes .
576,pna,Be overturned!
577,pna Tw,Overturn yourself !
578,hA Hr Ts .k,Down on your back!
579,sTAs .tj,Lie down on your back!
580,pXr Tw pna Tw,Turn around; turn yourself over!
581,pna,Be overturned!
582,pAxd .tj,Be overturned!
583,Hr gs .k,Upon your side!
584,sTAs,Lie down on your back!
585,pna .k n .f,May you be overturned for him .
586,sA,Beware!
587,mdw n .k nn sA .tjwny As .t js,"Let this one say to you, ‘Beware you two!’ as Isis ."
588,sA Tw,Take care!
589,sA Tw rmT.w jptf njt pr bA Hr .t DA .t m rn .sn pw nj DA .tjwt,"Beware the people, those of the house of Ba, terrible and transgressing, in this their name of ‘transgressors .’"
590,m pr .f m a .k,Do not let him go forth from you!
591,m sfxx .k jm .f,Do not release him!
592,m nhp .f m a .k,Do not permit that he escape you!
593,m pr .f m a .k,Do not let him go forth from you!
594,m nhp .f m a .k,Do not let him escape from you!
595,m pr .f m a .k,Do not let him go forth from you!
596, m n .k jr .t Hr hp .t m a stS jT.t .k jr rA .k wpp .t .k rA .k jm .s ,"Take the eye of Horus, which was recovered from Seth, that which you should take to your mouth, that by which you open your mouth!"
597,m n .k jr .t Hr hp .t m a stS nHm .t n .k,"Take the eye of Horus, which was recovered from Seth, which was wrested away for you!"
598, m n .k jr .t Hr nHm .t n .k ,"Take the eye of Horus, which was wrested away for you!"
599, m n .k jr .t Hr j .xxm .t .n .sn r .f ,"Take the eye of Horus, which they took away from him!"
600, m n .k jr .t Hr j .xxm .t .n .sn jr .f ,"Take the eye of Horus, which they took away from him!"
601,nHm .n .f sj m xftjw .f,He has wrested it from his opponents .
602,nHm .n .f jr .t .f m a .f,Horus has wrested his eye from him .
603,nHm .n Hr jr .t .f m a stS,Horus has wrested his eye from Seth .
604,pr .n jr .tj m tp .T,The eyes have gone forth from your head .
605, pr .n jr .t m tp .k m wr .t HkA .w Sma .jt ,The eye has gone forth from your head as the southern great of magic .
606,pr .n jr .t m tp .k m wr .t HkA .w Sma .jt,The eye has gone forth from your head as the southern great of magic .
607,pr .n jr .t m tp .k m wr .t HkA .w Sma .jt,The eye has gone forth from your head as the southern great of magic .
608,sk wsr .f m wsr .w jr .t tbj,For his strength is as the strength of the eye of Tebi .
609,jw jr .t .f m nxt .f,His eye is his strength .
610, jw nxt W. m jr .t .f jw wsr W. m jr .t .f ,The strength of Unas is his eye; the Weser strength of Unas is his eye .
611,mH .n .j n .k jr .t .k m mD .t,With oil have I filled your eye for you .
612,mH .n Hr jr .t .f Sw .t m jr .t .f mH .t,After Horus filled his empty eye with his full eye .
613,mH .n Hr jr .t .f m mD .t,With oil has Horus filled his eye .
614,jmjt HA .t Hr,O that which is in the brow of Horus .
615, m n .k jr .t Hr jmjt HA .t .f ,"Take the eye of Horus, that which is in his brow!"
616, j .nD Hr .T jmjt HA .t Hr dj .t .n Hr m wp .t jt .f wsjr ,"Hail to you, O one who is in"
617, Dj .f n .k jmjt HA .t Hr ,And let him give you that which is in the brow of Horus .
618,d n .k sj r HA .t .k m rn .s pw nj HA .tjt,"Place it in your brow, in this its name of ‘finest oil!’"
619, jab n .k snj,Join them!
620,jab n .k sj jr rA .k,Join it to your mouth!
621,jab .n .j n .k snj,As I have united them to you .
622,nDr n .k snj jab n .k snj,Take hold of them for yourself; join them to yourself !
