,Transliteration,Translation
357, pA A t r Hw.wt=i Hw.wt n.t ,"Ah, let fly the bread to my houses,1075 to the houses of Neith!"
358, W. pi Hr ,For Horus is Unas.
359, W. pi ,It is Unas.
360,n rDi.n n=Tn(i) W. HkA=f,Unas does not give you his magic.
361, W. pi sbk wAD Sw.t rs Hr Tz HA.t ,"Unas is Sobek, green of plumage, vigilant of sight, who raises the brow."
362, T. pw naw Ssm ,Teti is the irritated serpent.
363, W. pi kA iAxw Hr-ib ir.t=f ,"Unas is the bull of sunlight, one who is within his eye."
364, W. pi zA pw n(i) i.xm.t ,Unas is this son of she who is not known.
365, in n W. sfr.t Htp.t Hr(i)t psD.w wsir ,Bring to Unas the Hetep-linen (i.e. a boat) which is on the back of Osiris.
366,pr W. Hr=s r p.t ,That Unas ascend upon it to the sky.
367,swA.n P. pn Hr=Tn m tm ,Pepi has passed by you even as Atum.
368, swA.n=i Hr=Tn m tm ,I have passed by you even as Atum.
369,wab.n P. Hna ra m mr-iAr.w ,Pepi and Re have become pure even in the pool of rushes.
370,Hr zin=f iwf=k ,Horus rubs your flesh.
371, T. ,O Teti.
372, i.Dd my rn n(i) T. [m nw] n Hr ,Speak the name of Teti [now] to Horus!
373,wab ir(i) T.,Let Teti thus be pure.
374, iw T. ir p.t ,And Teti is for the sky.
375,in.w Hr mr=f T. ,The bearer of Horus loves Teti.
376, iny A ipw mr T. in.w wi1076 r Htp,"Ah, it is the ones who bring, who love Teti, who bring me to the offering."
377,iny A pw mr Ne. pn in.w Ne. r Htp.t ,"Ah, it is the ones who bring, who love Neferkare, who bring Neferkare to the offering."
378,P. pw Dsr imi-xnt Tzz HA.t ,"It is Pepi, who raises what is in front, one who lifts up the brow."
379, [in] Dr.t(=i) wTz[=s sw] ,It is my hand [which] will exalt [him].
380, in Dr.t T. wTz=s sw ,It is the hand of Teti which will exalt him.
381, T. pw fnD ssn ,Teti is the nose which breathes.
382,pr T. ir p.t Hr SdSd imi wp.t,Let Teti ascend to the sky upon the Shedshed which is in the horns.
383, nDr Tbw.t=s in Dr.t(=i) wTz.t ,Its sandal having been grasped by my hand which exalts.
384,pr T. ir p.t Hr SdSd imi wp.t,Let Teti ascend to the sky upon the Shedshed which is in the horns.
385, T. pw nw pr m mHn ,Teti is this one who ascends in the coils.
386,1077 zi n T. p.ti,The two skies going to Teti.
387, zi n=i p.ti,The two skies going to me.
388, imiw-wr.t nDr=sn a=f ,Those who are at the west take his hand.
389, imiw-wr.t nDr=sn a=i ,Those who are at the west take my hand.
390,d=i Hb-ib,With me placing a ladder.
391,d=f Hb,With him placing a ladder.
392, zi n=i p.ti,The two skies go to me.
393, nDr.n n=f T. sd=k ,And Teti has grasped for himself your tail.
394,nfr.w(i) A mA.iw1078 T.,"Ah, how good to see Teti!"
395, Szp n=k T. ,Accept Teti!
396, Szp wi n=k M.n,Accept {me} Merenre!
397, wsir ,O Osiris.
398,P. i.Sm=f r=f ir p.t m-m sn.w=f nTr.w ,And Pepi goes thus to the sky to be among his brothers the gods.
399,m iw ir T.,Do not come to Teti!
400,anx T. m anx.t Sw im ,For Teti lives from that from which Shu lives.
401, iw.n T. xr=k ,To you has Teti come.
402, rDi.n baH.t a.w(i)=s(i) r M.n ,Abundance has given her hands to Merenre.
403, M.n pw ,It is Merenre.
404,rDi x.t n Ne.,An offering is given to Neferkare.
405, sHtp=k rmT nTr.w n T.,May you make men and gods satisfied with Teti.
406,sHtp=k n Ne. rmT nTr.w ,May you make men and gods with Neferkare satisfied.
407, wnm Ne. ir DD=k ,That Neferkare eat according as you give.
408,im(i) n Ne. wr,Give Neferkare meat!
409, Di=k n M.n wr ,May you give Merenre meat.
410, kA n(i) Ne. m p dSr sD.t ,"And the Ka of Neferkare is in Buto, even red of flame."
411, x.t n(=i) Hm.w sSm.w,"The offering to me, O servants and butchers!"
412,rA n(i) Ne. m snTr ,The mouth of Neferkare is incense.
413, sHtp=k nTr.w n M.,May you make the gods satisfied with Merire.
414,im(i) n Ne. wr,Give Neferkare meat!
415, wAD=T wAD M. wAD Hn [anx.w] ,"If you flourish, then Merire flourishes, then the rush of the living flourishes."
416, wAD=T wAD M. wAD Hn anx.w,"If you flourish, then Merire flourishes, then the rush of the living flourishes."
417,wAD=T wAD Ne.,"If you flourish, then Neferkare flourishes."
418, iw.n Ne. m p dSr sD.t,"Neferkare has gone forth from Buto, red of flame."
419, ix.t n(=i) iwn ,"The offering to me, O pillar."
420, Tz n=k tp=k ir qs.w=k ,Your head is bound to your bones for you.
421, T. pw wt- inpw=k,Teti is your Anubis-embalmer.
422,ink wt-inpw=k,I am your Anubis-embalmer.
423,iw.n Hr zxn=f Tw ,"Horus has come, only in seeking you."
424, hA wsir P. pw ,O Osiris Pepi.
425, in Hr gbb Di Htp n wsir P. ,It is Horus and Geb who have given an offering to Osiris Pepi.
426, nbi=k Xr=f ,May you swim bearing him.
427, Twt wti.ti Sw ,You are the eldest of Shu.
428, nb=f Xr=k ,Let him swim bearing you.
429, DA T. Hna=Tn tp DnH DHw.ti ,Teti would cross with you upon the wing of Thoth.
430,DAy Ne. Hna=Tn tp DnH DHw.ti ,Teti would cross with you upon the wing of Thoth.
431,in.t=f n Ne. mXn.t tf n(i)t mr-nxA(i),That he might to Neferkare bring that ferryboat of the shifting waterway.
432, ia=i Hr n(i) nTr.w m hi.w m Hm.wt ,"I wash the face of the gods, even male, even female."
433,ia Hr n(i) T. in nTr.w m hi.w m Hm.wt ,"The face of Teti is washed by the gods, even male, even female."
434,ir mdw Ne. xft stS Hr ir.t tw n(i)t Hr ,In order that Neferkare speak against Seth concerning this eye of Horus.
435,dwA Ne. ra im m iA.wt Hr.(iw)t m iA.wt stS.(iw)t ,"Who adore Neferkare and Re there, in the Seth mounds."
436,ir mdw.t xft stS Hr ir(.t) tw n(i)t Hr ,in order to speak against Seth concerning this eye of Horus.
437,dwA.w ra im m iA.wt Hr.i(w)t m iA.wt stS.i(w)t,"who adore Re there, in the Horus mounds, in the Seth mounds."
438, m-k(w) sw i bA(.i) nTr(.i),"Behold: he is come, a Ba, and divine."
439,m-k(w) T. i.y bA.i nTr(.i) ,"Behold: Teti is come, a Ba, and divine."
440, wD.n nww T. n tm,Nu has commended Teti to Atum.
441, im(i) wn.t(i) n Ne. <aA.wi> p.t ipf ,Cause that those doors of the sky to Neferkare be opened.
442,Di=f i.wn.ti aA.wi p.t ipf n T.,Let him cause that those doors of the sky be opened to Teti.
443, in n=k T. ir- gs=k,Bring Teti beside you!
444, zAy=f Tw mr zAi.t nww fd.t ipwt nTr.wt ,"And he guards you, just as Nu guarded these four goddesses."
445,m( y) DA T. ir pf gs mr DA.t=k Sms.w=k wng mrr.w=k ,"Come! Ferry Teti to that side, just as you ferry your follower Weneg, beloved of you."
446,aHa r=k,Arise!
447, Tz Tw ,Raise yourself !
448, i.n=sn ir=f m rn=k n(i) itf A-wr ,"Say they to him, in your name of ‘(house of ) the great saw.'"
449,in.n n=k gbb Hr ,Geb has brought you Horus.
450, Hr nw m Xnw-a.wi=k(i) ,This is Horus within your embrace.
451,aHa,Arise!
452,rDi.n Hr dmD Tw nTr.w,Horus has caused that the gods join you.
453,d.n Tw Hr m HA.ti nTr.w ,Horus has placed you in the heart of the gods.
454, i.rs ir=k Reference: 2nd at §651a ,Awaken!
455, Tz Tw ,Raise yourself !
456, wr.t(i) ,Be great!
457,im(i)=k iw Hr T. zA wr ,"May you not come upon Teti, a son of a great one."
458,T. pw Hm Hr Xrd nxn Dba=f m rA=f,Teti is indeed Horus the young child whose finger is in his mouth.
459,Hr.t(i) r T. imi Daamw ,Be far from Teti who is in Dj'a'amiu.
460,aHa n T.,Attend to Teti!
461,Dr.t tn n(i)t T. i.t ir=k Dr.t TT.t aA.t Hr(i)t-ib Hw.t-anx ,"This hand of Teti which came against you is the hand of the great binder, resident in the house of life."
462, iTT T. a=f ir=k mwt=k,"If Teti takes his hand to you, you will die."
463,i.n T. xr=k,To you has Teti come.
464, xr wr xr Hm- psD.t,"If the great one should fall, then the Hem-pesdjet pelican would fall."
465,T. pw Hr pr m SnT sin ,"Teti is Horus who went forth as the serpent, the runner."
466,T. pw Hwn.t wr.t ,For Teti is the great maiden.
467, wab T. ,Teti is pure.
468,nhi T.,Protect Teti!
469,mw n(i)w T. m p.t ,The water of Teti in the sky.
470, a.wi=k(i) HA T. ,May your arms be around Teti.
471,iwr T. (i)n Daamw ,Teti is conceived of Dj'a'amiu.
472, Di=k t n T. ,May you give bread to Teti.
473, i.n Ne. m p dSr sD.t,"Neferkare has gone forth from Buto, red of flame."
474, T. pw ir.t tw n(i)t ra sDr.t ii.t(i) ms.t(i) ra nb,"Teti is this Eye of Re, which passes the night, conceived and born every day."
475,swAD T.,Make Teti flourish!
476, na.w T. Hna=k ,Teti will go even with you.
477,T. pw Tw,You (sc. Re) are Teti.
478,in n=k irT.wt As.t n T. Agbi nb.t-Hw.t,"Bring the milk of Isis to Teti, and the abundance of Nephthys."
479,in n=k n Ne. irT.t As.t Agb nb.t-Hw.t ,"To Neferkare bring the milk of Isis, and the abundance of Nephthys."
480,wDa=i mdw wpi=i sn-nw ,Let me pass judgment; let me judge the two litigants.
481, wDa P. pn mdw wpi[=f ] /// ,Let Pepi pass judgment; let /// judge ///.
482,wab {=i} P. pn,Let {me} Pepi purify himself.
483, wp n T. rA=f,For his mouth for Teti has been opened.
484,ms P. pn m grH,In the night will Pepi be born.
485, msi=i m grH,In the night will I be born.
486,Dni.t n msw.t T. ,The seventh day ceremony is for the dinner of Teti.
487, Dni.t n msw.t=i ,The seventh day ceremony is for my dinner.
488,T. pw kA psD.t nb iS.t t 5,"Teti is the bull of the Ennead, a possessor of offerings, of five loaves."
489, gm Tw T. Hms.t(i) Hr swnw pw n(i) xA.t Hms.w nTr.w im=f,Even with Teti finding you (Osiris) sitting upon this cult-place of the altar at which the gods sit.
490,hA n<=k> T. m zAb Sma inp is Hr(i)-X.t=f wpi.w is xnti iwnw ,"Descend, O Teti, as the jackal of Upper Egypt, as Anubis, the one upon his belly, as Wepiu, foremost of Heliopolis!"
491, Tz Tw ,Raise yourself !
492, Szp n=k sSp=k ,Receive your cloth!
493, sAq=T qs.w T. ,And collect the bones of Teti.
494, wDA.t pw nw ir.n Hr n it=f wsir ,This is a garment which Horus made for his father Osiris.
495, Hbs Tw mw.t=k tAi.t ,And let your mother Tait clothe you.
496, Hr=T pw nn ,This one is your Horus.
497, d=i Tn m wp.t it(=i) M.n,Let me place you on the brow of my father Merenre.
498, d Tn T. m wp.t=f,Let Teti place you on his brow.
499, i.(n)D-Hr=k T. m hrw=k pn ,"Hail to you, O Teti, on this your day."
500,i.nD-Hr=k it(=i) m hrw=k pn ,"Hail to you, O my father, on this your day."
501, n ks.w xA.tiw Hr T. ,The assessors will not bow over Teti.
502,n ks.w xA.t(i) w Hr=k ,The assessors will not bow over you.
503,wab,Be pure!
504, Hfd=k ,May you climb.
505,Sm n=k,Go!
506, m-n=k qbH=k ipn,Take this libation of yours!
507,Hr=k m wp-wA.wt ,Your face is Wepwawet.
508, nD.ti ,Who is saved.
509,xa.n=k m ni-sw.t bi.ti,You have appeared as king of Upper and Lower Egypt.
510, pSS Tn Hr zA=T wsir P. ,Spread yourself over your son Osiris Pepi!
511,iw.n=T is Xnm=T wr pn ,That you have come is that you join this great one.
512,i.xr Hr zA=T wsir P.,Fall upon your son Osiris Pepi!
513, Xnm=T P. m anx wAs ,May you endow Pepi with life and dominion.
514,iw.n(=i) is Xnm(=i) wr pn,I have come only that I join this great one.
515, sAx=T P. pn m-Xnw=T ,May you make Pepi an Akh within you.
516, d.n=T n=T P. pn m i.xm-sk imi=T ,You having placed Pepi as an imperishable star within you.
517, imi=T rDi Hr P. r=T m rn=T Hr.t ,May you not let Pepi be far from you in your name of ‘distant one.'
518, i.sk(=i) rA n(i) wsir P.,Let me brush the mouth of Osiris Pepi.
519,anx.ti D.t,May you live for ever.
520, mw=k n=k ,Your water be yours!
521, sAx.i sxm pn n bA=f ,Let this power be made an Akh because of his Ba.
522,Tz Tw m wsir Ax is zA gbb tpi=f,"Raise yourself as Osiris, as the Akh, the son of Geb, his first!"
523, ir(=i) n=k sw ihi pn,"Let me make it for you, this cry."
524, P. pw sT(i).t iT.t tA.wi rkH.t Szp.t idb.wi=s(i),"Pepi is Satis who seizes the two lands, the fire which receives her two banks."
525,pr.n{=i} P. r p.t,{I} Pepi has ascended to the sky.
526, iqr=i r iqr.w ,With me being more excellent than the excellent ones.
527, iqr M.n r iqr.w,With Merenre being more excellent than the excellent ones.
528, Dr Sd.t=k kA n(i) P. r p.t tn ,Until you take out the Ka of Pepi to this the sky.
529,xbs n=k tA,The earth is hacked up for you.
530, iwr Tw p.t Hna sAH ,May the sky conceive you together with Orion.
531, iwr.t(i) Ne. in p.t Hna sAH,May Neferkare be conceived by the sky with Orion.
532,ip=T P. pn n anx ,"Even while assigning Pepi, for life."
533, DDi=T sDb=f ,You are to cause that he live again.
534, anx=T anx P. ,"Just as you live, so does Pepi live."
535,pSS.n s(i) mw.t=k Hr=k,Your mother Nut has spread herself over you.
536, i i ,The one who would come comes.
537, iab.i P. ,Join Pepi!
538,m-n=k ir.t Hr xr=k ,Take the eye of Horus to yourself !
539, z P. xr kA=f ,Let Pepi go to his Ka.
540, Sm n=k anx=k ,Go alive!
541, i.rs Tz Tw aHa ,Awaken! Raise yourself ! Arise!
542,aHa,Arise!
543, aHa Reference: 2nd at §844a ,Arise!
544, Sn n=k nTr nb m Xnw-a.wi=k(i) tA.w=sn <isT> iS.wt=sn nb(.wt) isT ,"Enclose every god in your embrace, and their lands, and all their possessions!"
545, wab P. pn im=f ,Let Pepi be pure by it.
546, sfx Dw.t ir(i)t=f ir tA ir.t.n nw-tknw ir=k m-ab Ax.w=k ,"With the evil pertaining to him loosed to the ground, that which Nutekenu did against you among your Akhs."
547, i.nD-Hr=k wa Dd=f ra nb ,"Hail to you, O sole one who endures every day."
548, i Hr i Aw n(i) nmt.t ,Horus comes: the one broad of stride comes.
549, i.rx=i sw rA pn n(i) ra,"I know it, this utterance of Re."
550, i.rx sw Ne. rA pn n(i) ra ,"Neferkare knows it, this utterance of Re."
551,iry Ne. HkA.w ipn n(i)w Hr Ax.ti ,With Neferkare performing this magic of Harakhti.
552,iAxy mrn.wt n Ne. pw m hrw pn,The reservoirs are filled for Neferkare today.
553, Tz Tw ,Raise yourself !
554, wn n=f aA.wi p.t ,The doors of the sky are opened to him.
555, rDi n=k a.wi ,Hands are given to you.
556,Szp n=k mw=k ipn wab,Receive this your pure water!
557, mw=k qbH=k baH wr pr im=k,"Your water, your libation, the great flood which went forth from you!"
558, sDm=Tn sw mdw pn i.Dd.w M.n p(w),"Hear it, this word which Merenre says!"
559, hA Ne. pw ,O Neferkare.
560, n mwt=k ,You have not died.
561, i.zn n=k aA.wi qbHw ,The doors of the firmament are spread open for you.
562, i.zn [n] Ne. aA.wi qbHw ,The doors of the firmament are spread open [for] Neferkare.
563,n sk=k D.t,You will never perish.
564,Szp=Tn n=Tn a n(i) P. pn,Then may you take the hand of Pepi.
565,Twt sbA pw aA rmn.wti sAH nm p.t Hna sAH Xn dA.t Hna wsir ,"You are this great star, a companion of Orion, who traverses the sky with Orion, who rows the netherworld with Osiris."
566, ms.n nw.t P. pn Hna sAH,Nut has born Pepi with Orion.
567,ms.n Tw nw.t Hna sAH,Nut has born you with Orion.
568,m ir.ti x.t nb(.t) mAA.t(i)=sn Tw ,In the eyes of everything which will see you.
569, wrS Ne. pn xr kA=f ,Neferkare spends the day with his Ka.
570, sDm.t(i)=sn rn=f isT,And which will hear his name.
571, wab P. pn ,Let Pepi be pure.
572,Xny P. ra ir imn.t ,That Pepi may row Re to the west.
573,1091 wn.t(i) n Ne. aA.wi bA<-kA> imi qbH,Let the doors of the dawn which are in the firmament be opened for Neferkare.
574, mA {=i} P. irr.t nxx.w ,Let {me} Pepi see what the rejuvenated stars do.
575,ink nxx Hnzk.t(i) nxx,"I am a rejuvenated one, a side-locked one who is rejuvenated."
576, sDm.t(i)=sn rn=k isT,and which will hear your name.
577,i.rx P. pn mw.t=f ,Pepi knows his mother.
578,i.k(i),Say I.
579, i.i in Ne. ,Said by Neferkare.
580, zA(=i) i.t(i) ir Ne. ,"‘O my son,' says she toward Neferkare."
581, i.n P. wab=f P. m sx.t-iAr.w ,"Pepi has come, only that he, Pepi, become pure in the field of rushes."
582, ir=sn n P. pn rA n(i) mAa.w ,Performing the utterance of service for Pepi.
583,hAy Ne. m wiA pw n(i) ra,That Neferkare may board this bark of Re.
584,sDA tA tp-a.wy P. pn,Let the earth tremble before Pepi.
585, M.n pw Ax m [rA=f a ]pr,"He is Merenre, one who is an equipped Akh through [his utterance]."
586, shA.t(i) n P. zxn.wi p.t in manD.t,Let to Pepi the two reed-boats of the sky be brought down by the day-bark.
587,shA n(=i) zxn.wi p.t in msk.t(i)t ,Let the two reed-boats of the sky be brought down to me by the night-bark.
588, shA n=f zxn.wi p.t in msk.t(i)t ,Let the two reed- boats of the sky be brought down to him by the night-bark.
589,pry Ne. Hr=sn(i) xr Hr Ax.ti ir Ax.t ,"That Neferkare ascend upon them to Harakhti, to the horizon."
590,ink Ne. Ax m rA=f apr ,I am {Neferkare}1092 one who is an equipped Akh through his utterance.
591, i(n)-m tw=k i.n=sn ir M.n.,‘Who are you?' say they toward Merenre.
592, i.Aq=k Hr=s m rn=s pw n(i) mAq.t,May you climb up her in this her name of ‘ladder.'
593,i.Aq Ne. Hr=s m rn=s pw n(i) mAq.t,Let Neferkare climb up her in this her name of ‘ladder.'
594, Htp.w(i) A ptr i.t(i) in nb.t-Hw.t n it=f n wsir P. pn,"‘Ah, how satisfying to look,' says Nephthys, ‘upon his father, upon Osiris Pepi.'"
595,n P. pn tm,Let all belong to Pepi!
596, n=k tm i.n gbb mdw Hr=s Hna tm ,"‘Let all be yours!' says Geb, who speaks of it with Atum."
597, P. pn mn.ti m anx wAs P. pn i.mn=k mn.ti m anx wAs ,"O Pepi, you are enduring in life and dominion; O Pepi, you continue to endure in life and dominion.'"
598, sTp Ne. Hna=s ,Neferkare leaps up with it.
599,sTp=k Hna=s,You (sc. the ferryman) leap up with it.
600, nTr nb nti imit(w)=sn(i) sab=f M.n ,And every god who is between them purifies Merenre.
601,sD(=i) mnhD=k Hsb(=i) ar.wi=k(i) Hnn(=i) mDA.w(t)=k ,I will break your palette: I will smash your brushes: I will tear up your bookrolls.
602, ii mTn(.i) P. pn ir(i) arr.wt wr.t,"O one of the way of Pepi, doorkeeper of the great gate."
603,sTp Ne. Hna=s ,Neferkare leaps up.
604,ii mTn(.i=i) ir(i) arr.wt wr.t ,"O one of my way, doorkeeper of the great gate."
605,2nd & 3rd Reference: 3rd at §956b (N): Tz=sn(i) wsir Hr gs=f,That they raise Osiris from upon his side.
606, Tz Tw ,Raise yourself !
607,i.n Ne. xr=k wsir ,"To you has Neferkare come, O Osiris."
608,i.n Ne. xr=k wsir Ne. ,"To you has Neferkare come, O Osiris Neferkare."
609, wnm=i a.t m xft(i)=k ,Me eating a limb from your enemy.
610, stm=f a.t m xft(i)=k,With him consuming a limb from your enemy.
611,f Ay M.n a=k Xr wAs ,That Merenre lift up your hand holding the Was-staff.
612,wab Ne. n=k ,With Neferkare performing service for you.
613, Ne. pw zA=k ,Neferkare is your son.
614,imi swt rDi.t(i) n Ne. mAq.t nTr ,But cause that the ladder of the god be given to Neferkare.
615,i.zn aA.wi qbH n Ne. pn ,The doors of the firmament are spread open to Neferkare.
616, mr pr.t it n(i) Ne. tm ir p.t ,"Just as the father of Neferkare Atum, ascends to the sky."
617,in.n=f n Ne. niw.wt,He has brought the cities for Neferkare.
618, Hfd.w Ne. Hr mn.ti nb.t-Hw.t ,Neferkare will climb up upon the thighs of Nephthys.
619,DA P. pn im xr ra ir Ax.t ,"That Pepi cross thereby to Re, to the horizon."
620,DAy Ne. im xr ra ir Ax.t,"That Neferkare cross thereby to Re, to the horizon."
621, iA it(=i) Ne. ,"Greeting, O my father Neferkare."
622, mdw xft=f ,Speak before him!
623, wsir zA gbb tpi=f,"O Osiris, son of Geb, his first."
624, wsir P. zA gbb tpi=f ,"O Osiris Pepi, son of Geb, his first."
625,i.sAx=f wsir m nTr ,"When he made Osiris an Akh, into a god."
626, P. pw wr pr ir p.t xprr pr ir ///,"Pepi is a great one who ascends to the sky, Kheprer who ascends to the ///."
627, iw.n P. xr=k ,To you has Pepi come.
628, it(=i) ,O my (sc. Pepi) father (sc. Geb).
629, pri P. pn ir p.t n nw.t ,"That Pepi may go forth to the sky, to Nut."
630,Dd[.n it]=f gbb HH n HkA,Sai[d] his [father] Geb: ‘Seek for the magic!'
631, n nik Ne. ,Neferkare will not be punished.
632,i.ms wi m nww ,For I was born in Nu.
633, ms P. m nww,For Pepi was born in Nu.
634, iA it(=i) ,"Greeting, O my father!"
635, iA it(=i) wsir P. pn ,"Greeting, O my father Osiris Pepi!"
636, rDi n=k kz in Hr,By Horus has ‘free course' been given you.
637,d n=k M. /// ///,Put Merire /// ///.
638, P. pw mA[s] m nww,Pepi is the one who kne[els] in Nu.
639,ink [mA]s m nww ,I am the one who [knee]ls in Ne.
640, wnm=i im=f Hna=sn,And let me eat of it with them.
641,Di=Tn wnm Nt. pn m n[pi] xpr im mr wsir Hr(i) mH.t-wr.t ,"May you cause that Neith eat as Ne[per] who comes into being there, like Osiris who is upon the great flood."
642,sHtp=k n=f psD.ti ,That you make the two Enneads satisfied with him.
643,sHtp=k n=i psD.ti ,That you make the two Enneads satisfied with me.
644, iS.wt=f m-xnt itr.t ,His offerings are before the chapel row.
645, iS.wt=i m-xnt itr.t ,My offerings are before the chapel row.
646, i.n=f m iwn.t,He has come from Dendera.
647, i.n=i m iwn.t,I have come from Dendera.
648, wxA n=k tA ir(i)=k ,Throw off the earth which is against you!
649, aHa Hms wxA n=k tA ir(i)=k ,Stand and sit! Throw off the earth which is against you!
650,aHa mds=i,Lest my knife arise!
651, i.n=i i.sr[=i n] mr=f m iwnw ,I have come that I might foretell for the one whom he loves in Heliopolis.
652,P. i.spi Tmi sn nTi mw ,"Pepi is the one who lashed together and formed, who untied and bound together the water."
653, DHw.ti m zA=i ,For Thoth is my guardian.
654, Dd n=f nw tp(i)-a.wi=f (i) ,Let speak to him this ancestor of his.
655,Dd n=i nw tp(i)-a.wi=i,Let speak to me this ancestor of mine.
656,wrH=i m HA.t(i)t ,With me anointed with fine oil.
657, sA=f ir sA n(i) nTr.w ipw mH.tiw p.t i.xm.w-sk ,"With his back to the back of these gods of the northern sky, the imperishable stars."
658,wab.n=f m mr.w dwA.wt ,He has become pure in the pools of the adoring ones.
659, wab.n=i m mr.w dwA.wt,I have become pure in the pools of the adoring ones.
660, d n=i zxn.wi p.t ,The two reed-boats of the sky are given to me.
661, hAy r=f M.n ir a rsi n(i) sx.t-Htp ,Let Merenre thus descend to the southern part of the field of offerings.
662,hAy Ne. ir=f ir a rsi n(i) sx.t-Htp,Let thus Neferkare descend to the southern part of the field of offerings.
663, pr.n M.n m p xr bA.w p,From Buto with the Bas of Buto has Merenre gone forth.
664, nw.t Di=s a.wi=s(i) ir=i mr nw ir.n=s n wsir hrw pw mni.n=f im ,"Nut puts her hands upon me, just like this which she did for Osiris on this day on which he moored."
665, nw.t Di=s a.wy=s(i) ir=k mr nw ir.n=s n wsir hrw pw mni.n=f im,"Nut puts her hands upon me, just like this which she did for Osiris on this day on which he moored."
666,nw.t Di=s a.wi=s(i) ir=f mi nw ir.n=s n wsir hrw pw mni.n=f im ,"Nut puts her hands upon him, just like this which she did for Osiris on this day on which he moored."
667, Hms.w{=i}=f imiti=sn(i) ir wDa mdw ,He will sit between them in order to pass judgment.
668, pr.n=k Tni ,From where have you ascended?
669,P. p(i) zT.ti ,Pepi is Zetjeti.
670, ink zT.ti ,I am Zetjeti.
671, sni{.k(i)} Ne. m-a x.t nb(.t) Dw.t ,{I} Neferkare is released from everything evil.
672, Hr=f-HA=f DA M.n. ir sx.t-iAr.w,"O Herefhaf, ferry Pepi to the field of rushes!"
673, wr it=f wr it=f ,Great is his father; great is his father!
674, wr it(=i) wr it(=i) ,Great is my father; great is my father!
675,1099 wr it(=i) wr it(=i) ,Great is my father; great is my father!
676, pr M. pn ,Merire is ascended.
677, pri.k(i) ,I am ascended.
678,snq{i}=f sw ,That {I} he suck it.
679, iry=f {i} Hzmn.w=f m dAb m irp.w imi kAn nTr ,"Let {me} him make his natron out of figs, out of the wine which is in the vineyard of the god."
680, fd.t=i fd.t Hr ,My sweat is the sweat of Horus.
681, zA=i i.t(i) ,‘My son!' says she.
682, sqr wdn.t tp-a.wy M. pn anx Dd,"The offering presented before Merire, alive and enduring."
683,sqr wdn.t tp-a.wy=i ,The offering presented before me.
684, pry=f r=f ir p.t m-m sbA.w i.xm.w-sk ,"Let him thus ascend to the sky among the stars, the imperishable stars."
685,aHa.i=f r={i}<f> m s.t=f Sw.t nt(i)t imiwti nTr.wi aA.w(i) ,Let {me} <him> arise thus into his empty place which is between the two great gods.
686, aHa ir=f Ne. m s.t tf Sw.t nt(i)t imiw[ti] /// ,Let Neferkare arise thus into his empty place which is between ///.
687, f Ai=i a=f ir Hnmm[.t] ,Let me raise his hand to the sun-folk.
688, i.zn.y aA.wi qbHw n P. ir tp(i) hrw ,The doors of the firmament are spread open to Pepi at dawn.
689, i.zn.y aA.wi qbHw n=i ir tp(i) hrw ,The doors of the firmament are spread open to me at dawn.
690,wab{=i}=f m sx.t-iAr.w,With {me} him having been made pure in the field of rushes.
691,ir=sn mAa.iw n wsir P. ,They will perform service for Osiris Pepi.
692, ir=sn mAa.iw n it=i,They will perform service for my (sc. Pepi's) father (sc. Geb).
693,pr P. ir p.t ,As Pepi ascends to the sky.
694,pr=i r=i r p.t,As I thus ascend to the sky.
695,nhmhm{=i}=f m stS,When he roars as Seth.
696, i.wn n Ne. ir(i)w a.wt p.t aA.w p.t,Let the keepers of the parts of the sky open the doors of the sky for Neferkare.
697,H(w)y=f m abA ,Let him strike with the staff.
698, ir.n n=f it=f ib=f,His father (sc. beneficiary) made his heart even for himself.
699, Tz Tw it=i ,"Raise yourself, O my father (sc. beneficiary)!"
700, Tz Tw P.,"Raise yourself, O Pepi!"
701, Tz Tw it=f ,"Raise yourself, O his (sc. Pepi's) father!"
702, Tz Tw it=i ,"Raise yourself, O my (sc. Pepi's) father!"
703, Ne. ,O Neferkare.
704, in wr p[ f ] ir n=f nw ,It is that great one who did this for him.
705, in wr p[ f ] ir n=i nw ,It is that great one who did this for me.
706, pr r=f it=i ir p.t m-m nTr.w imiw p.t,Let my father (sc. Re Atum) ascend to the sky among the gods who are in the sky.
707, gm Tw ra Hr. idb.w n(i)w p.t m Hn.ti imi nw.t iw pH.w i.n nTr.w ,"‘Re will find you upon the banks of the sky, as he of the swamp, one who is in Nut. Come, O one who arrives!' say the gods."
708, s[.t=k] n zA=k ,Your seat is your son's.
709,my iw sw ,Do not strand him!
710,my iw wi ,Do not strand me!
711, sqbH=s n=i HA.t(i) n(i) P. pn im n anx ,"That she may make for me the heart of Pepi be libated there, for life."
712,sqbH=s n Ne. HA.t(i)=f im n anx ,"That she may for Neferkare make his heart be libated there, for life."
713,P. pw nr-kA.w=k Hry msxn.t=k ,"Pepi is your herdsman, master of your birth-brick."
714,M.n p(w) dAng ibA.w nTr ,The pygmy of the god's dance is Merenre.
715, dAng pw ibA.w nTr ,He is the pygmy of the god's dance.
716,hrw pw ni<s> ir P. pn n anx ir sDm wD.t mdw,"On that day of the summons for Pepi, for life, in order to hear commands."
717, in nw n P. pn ,Bring this to Pepi!
718,in n M.n nw,Bring to Merenre this!
