,Transliteration,Translation
902, zAb.w rDi.w.n n=k Hr nxn(.i) ,The jackals which Hierakonpolis Horus would give to you.
903,in.n(=i) n=k nTr.w ipn,I have brought you these gods.
904,m-n=k ir(.t) Hr in.t.n=f nTr.w im=s,"Take the eye of Horus, by which he brought"
905,ini n=k bA.w p,Let the Bas of Buto be brought to you.
906,Di n=k sx.t-iAr.w Hna nTr.wi ipw(i) aA.w(i) prr.w(i) m iwnw,"The field of rushes having been given to you, and these two great gods who come forth from Heliopolis."
907,in n=k sn,Bring them!
908,Di.n n=k gbb [nTr.w nb(.w)],To you has Geb given [all the gods].
909,DHw.ti in sw Xr=s,It is Thoth who brought him while carrying it.
910, wsir bA im(i) Ax.w sxm im(i) s.wt=f nD.w psD.t m Hw(.t)-sr ,"O Osiris, Ba who is among the Akhs, power who is in his offices, one whom the Ennead saves in the house of the noble."
911,rDi.n=f nD Tw nTr.w,He has caused that the gods save you.
912,i.nD Tw psD.t aA.t,The great Ennead saving you.
913,nD.n Tw psD.t aA.t,The great Ennead has saved you.
914, nfr.w(i) A mA.w ,Ah! How beautiful to see ( . . . that this god ascends)!
915,nfr.w(i) A mA.iw T.,"Ah, how good to see Teti ( . . . as he ascends)!"
916,nfr.w(i) A mAA ,"Ah, how good it is to see’ ( . . . Merenre when he ascends)!"
917, mAA.t(i)=f(i) sDm.t(i)=f(i) pr.t=f ir p.t Hr mAq.t nTr ,The one who will see and hear his ascending to the sky upon the ladder of the god.
918, nfr.w(i) A mA.w ,"Ah, how good it is to see ( . . . this god Neferkare ascending)!"
919, nfr.w(i) A mA.w ,Ah! How good to see ( . . . that this god ascends)!
920, pXr n=k iA.wt Hr pXr n=k iA.wt stS ,"Go around the mounds of Horus, around the mounds of Seth!"
921, Hms=k iA.wt=k Hr( iw)t wnwn=k iA.wt=k stS(.iw)t ,That you sit (on) the Horus mounds and travel the Seth mounds.
922, dndn=k iA.(w)t Hr rsi.w dndn=k iA.(w)t Hr mH.tiw ,"Even that you traverse the southern mound(s) of Horus, the northern mound(s) of Horus."
923, dndn=k iA.wt rsi(.w)t dndn=k iA.wt mH.t( iw)t ,"When you traverse the southern mounds, the northern mounds."
924,dbn=k iA[.wt Hr.( iw)t] dbn=k iA.wt [s]tS.i[i ](w)t,"May you go around the [Horus] moun[ds], around the [S]eth mounds!"
925,dbn=k iA.wt=k Hr.(iw)t dbn=k iA.wt{t}=k stS.(iw)t mnw is xnti X.t psD.t,"May you go around your Horus mounds, around your Seth mounds, as Min foremost of the body of the Ennead."
926, dndn=k iA.wt rsi.(w)t [dndn=k iA.wt] mH.t(iw)t ,"And traverse the southern mounds, the northern [mounds]."
927, dbn=k iA.wt Hr.(iw)t dndn=k iA.wt [s]tS.(iw)t ,May you go around the Horus mounds and traverse the Seth mounds.
928,dbn=k [ iA.wt=k Hr.i(w)t dbn=k iA.wt=k] stS.(iw)t,"May you go around [your Horus mounds, your] Seth [mounds]."
929,Sm=k pw Sm.wt=k ipwt Sm pw pw n(i) Hr,"This your going, these your goings— it is this going of Horus."
930,Sm.t=k tn s.ti wsir is,This going of yours is as the successor of Osiris.
931,i.Sm=k i.Sm Hr,"If you go, Horus goes."
932, Sm.wt 4=k iptw tp( iw)t-a.wy HA.t Hr ,These four goings of yours are those which are before the tomb of Horus.
933,Sm=k m Sm Hr,May you go as Horus goes.
934,iw-sw Sm.wt=k iptn Sm.wt Hr m zxn.w it=f wsir,Indeed these your goings are the goings of Horus in seeking his father Osiris.
935,Xn=k r sx.t-Htp,And row to the field of offerings.
936,hA=f r=f ir a rsi n(i) sx.t-Htp,Let him thus descend to the southern part of the field of offerings.
937,Sm.n n=f M.n ir iw aA Hr(i)-ib sx.t-Htp sxn.n.w nTr.w wr.w Hr=f,"Merenre has gone even to the great island within the field of offerings, upon which the gods the swallows alight."
938,hA Ne. m sx.t kA=k r sx.t-Htp,Let Neferkare descend from the field of your Ka to the field of offerings!
939,wnwn T. m sx.wt-Htp,With Teti traveling in the fields of offerings.
940,z.t(i) Dd=k Hna kA=k,May you likewise go with your Ka.
941,z.t(i) Dd=k xr kA=k,May you likewise go to your Ka.
942,z P. xr kA=f,Let Pepi go to his Ka.
943,z P. pn xr kA=f ir p.t,"Let Pepi go to his Ka, to the sky."
944,pr W. Hr mAq.t tn ir.t.n n=f it=f ra,And Unas ascend upon this ladder which his father Re made for him.
945,i.Aq Hr=s m rn=s pw n(i) mAq.t,Climb up it in this its name of ‘ladder!’
946,i.Aq=k Hr=s m rn=s pw n(i) mAq.t,May you climb up her in this her name of
947,pr=f Hr=s ir p.t,That he ascend upon it to the sky.
948,i.Aq=f Hr=s m rn=s n(i) Aq.t r p.t,"That he may climb it, in its name of ‘what is climbed to the sky.’"
949,i.Aq=f Hr=s ir p.t,That he may climb up it to the sky.
950,pr.n=i Hr mAq.t,I have ascended upon the ladder.
951,i.zi m-xt hrw=k,Go after your day!
952,i.z m Ax=k,Go as your Akh!
953,zkr m xpr rn=f m zkr,Who goes when your (Egyptian: his) name of ‘Sokar’ came to be.
954,i.zi r Hn.t,Go to Henet!
955,i.z m( y) zzi=k,Go and capture!
956,zi.t(i) zi.t(i),Go! Go!
957,i.z,Go!
958,m saH=k pn pr rA n(i) ra m Hr xnti Ax.w,"In this your title which came forth from the mouth of Re, as ‘Horus foremost of Akhs.’"
959, iSS pr m rA Hr ,The spit which went forth from the mouth of Horus.
960,saH=k pr m rA n(i) inp,Your title gone forth from the mouth of Anubis.
961,pr m rA n(i) ///,Which went forth from the mouth of ///.
962, Hr mdw pn wr aAi pr m rA n(i) DHw.ti n wsir ,With this twice-great word gone forth from the mouth of Thoth to Osiris.
963,m saH=k pw pr m rA n(i) ra,In this your title which went forth from the mouth of Re.
964,srf tpi rA=k TAw pr m msAD.ti stS,"Warm is that which is on your mouth, the breath which went forth from the nostrils of Seth."
965,ni=i nw pr m rA=k r=k Ds=k,I will cast down this which goes forth from your mouth against you yourself.
966, nDr=k ir(i) a i.xm.w-sk ,May you thus grasp the hand of the imperishable stars.
967, nDr=k n=k a n(i) i.xm.w-sk ,May you grasp the hand of the imperishable stars.
968,Szp=k a n(i) i.xm.w-sk,And receive the hand of the imperishable stars.
969, iT=k a=k ir i.xm.w-sk ,And you take your hand away to the imperishable stars.
970,Szp a=k in i.xm.w-sk,With your hand received by the imperishable stars.
971,nDr=k a n(i) i.xm.w-sk,And grasp the hand of the imperishable stars.
972,i.xr wr Hr gs=f,The great one is fallen on his side.
973,xr r=f ti wr pw Hr gs=f,This great one is thus fallen upon his side.
974,xr wr Hr gs=f aHa nTr is,"The great one was fallen upon his side, even arisen as a god."
975,xr wr /// /// ///,The great one is fallen /// . . . ///.
976,xr wr xr Hm-psD.t,"If the great one should fall, then the pelican would fall."
977,Twt wr ir=f,You are one greater than him.
978,Twt wr ir xft(i)=k,You are one greater than your opponent.
979,f A n=k wr ir=k,Lift up one who is greater than you!
980,[Tw]t wr ir=f,For you are one greater than him.
981,Hw it(=i) smA wr ir=f,"O one who smote my father, O one who slew one who is greater than him."
982,Dr.t n(i)t W. iw.t(i) Hr=k,The hand of Unas is come upon you.
983, Ax.t=f tp=f ir hf Aw pn pr m tA Xri Dba.w W. ,"With his diadem upon him, against this serpent, which rose from the earth, which is under the fingers of Unas."
984,Dr.t tn n(i)t T. i.t ir=k Dr.t TT.t aA.t Hr(i)t-ib Hw.t-anx ,"This hand of Teti which came against you is the hand of the great binder, resident in the house of life."
985,iTT T. a=f ir=k mwt=k,"If Teti takes his hand to you, you will die."
986, a [ pf ] n(i) T. wAH=f Hr=k a n(i) mAfd.t Hr(i)t-ib Hw.t-anx ,"[That] hand of Teti which he sets upon you is the hand of Mafdet, resident in the house of life."
987,a.wi=k(i) Hr iS.t=k,Let your hands be over your offerings.
988,a=k Hr iS.wt=k,Let your hand be over your offerings.
989,a=k Hr t=k,And your hand be over your bread.
990,a=k Hr xA.t=k xA=k m t xA=k m Hnq.t xA=k m kA xA=k m Apd xA=k m mnx.t nb(.t) xA=k m x.t nb(.t) wnm.t nTr,"With your hand over your altar, and your thousand of bread, beer, beef, fowl, every clothing, everything which a god eats."
991,in Dr.t T. wTz=s sw,It is the hand of Teti which will exalt himself.
992,nDr Tbw.t=s in Dr.t(=i) wTz.t,Its sandal having been grasped by my hand which
993,Agb n(i) W. m sx.t-Htp,The abundance of Unas is in the field of offerings.
994,SmA r=k ir Agbi,Give way to abundance!
995, sAqH T. r n.t tpit=f r Agbi tpi mAs.t=f r bny.wt imit x f a=f ,"Refresh Teti in respect to the red crown which is upon him, to the abundance upon his knee, to the sweetness in his grasp."
996, in n=k irT.wt As.t n T. Agbi nb.t-Hw.t ,"Bring the milk of Isis to Teti, and the abundance of Nephthys!"
997,aHa Hms r xA m t xA Hnq.t ASr.t Sb.tiw=k m pr nm.t t-rtH m wsx(.t),"Arise! Be seated at a thousand bread and a thousand beer, and roasted meat, your ribs from the slaughterhouse, and bread from the broad hall!"
998, xA=k m t xA=k m Hnq.t xA=k m t-wr pr m wsx.t ,Your thousand of bread; your thousand of beer; your thousand of Wer-bread come forth from the broad hall.
999, t=k m t nTr imit wsx.t ,"And your bread the bread of the god, that which is from the broad hall."
1000,pzn.(w)y=k m wsx.t,Your loaf from the broad hall.
1001, xA=k m t-wr xr(i=i) m-Hr(i)-ib wsx.t ,And your thousand of bread which is from me inside the broad hall.
1002, t=k m t-wr t=k m wsx.t ,"Your bread being bread, your bread from the broad hall."
1003,dd(=i) T(m) m HA.t W. pn,In the brow of Unas do I put you.
1004,in.n(=i) n=k ir.t Hr iT.n=f r HA.t=k,"To you I have brought the eye of Horus, which he took away to your forehead."
1005,r HA.t r HA.t xr wsir,"To the brow! To the brow, to Osiris!"
1006, i(.n)D-Hr=T imit HA.t Hr di.t.n Hr m wp.t it=f wsir ,"Hail to you, O one who is in the brow of Horus, one which Horus put on the brow of his father Osiris!"
1007,d.n n=k Hr ir.t=f m HA.t=k m rn[=s n(i) wr.t-HkA.w] ,"For you has Horus put his eye on your brow, in [ its] name [of great of magic]."
1008,d M.n m s.t=f bAq Xr ab.t,"And set Merenre in his place, him being cleared and bearing a forked staff !"
1009,im(i) ab.t=k n P. pn,Give your forked staff to Pepi!
1010,Hr=k m inpw,And your face is Anubis.
1011,i r=f W. pn Ax i.xm-sk DbA m inp Hr wsr.t xnti qA.t imn.t(i)t,"Thus does Unas come, an Akh, an imperishable star, one adorned as Anubis upon the neck ( i.e. with a jackal face), foremost of the western height."
1012,Hr=k m zAb,Your face is a jackal’s.
1013,Hr=k m wp-wA.wt,Your face is Wepwawet.
1014,Szp n=k Hr=k m zAb,Receive your face as the jackal.
1015,Hr=k [m zAb],And your face [as a jackal’s].
1016,Hr=k m zAb,Your face is a jackal’s.
1017,[Hr=k] m zAb,[With your face] as a jackal’s.
1018,Szp n=k Hr=k n(i) zAb,Receive your face of the jackal!
1019,Hr=k m zAb wsir is,While your face is a jackal as Osiris.
1020,Hr=k m zAb inp is ST ///,"With your face as a jackal, as Anubis belted ///."
1021, Hr=k Tz m z( A)b wp-wA.w(t) is ,"Your face is knit together as the jackal, as Wepwawet."
1022,Hr n(i) P. pn m zAb,The face of Pepi is as a jackal.
1023,Hr n(i) P. pn m wp-wA.wt,The face of Pepi is as Wepwawet.
1024,Hr=f m zAb,For his face is as a jackal.
1025,aHa Hms r xA m t xA Hnq.t ASr.t Sb.tiw=k m pr nm.t t-rtH m wsx(.t),"Arise! Be seated at a thousand bread and a thousand beer, and roasted meat, your ribs from the slaughterhouse, and Reteh-bread from the broad hall!"
1026, Sb.t(i) n=k Hr nm.t xnti-imn.tiw ir swn=k ni nb.w imAx ,"The rib being yours from the slaughter-block of the foremost of the westerners, at your cult-place of the possessors of veneration."
1027,DA=k iwa Hr nm.t wsir Sb.t( iw)y Hr nm.t stS,May you draw (to your mouth) the
1028, Sb.t( iw)y=k(i) Hr nm.t nTr ,Your
1029, xnp=k Sb.tiw Hr nm.t n D.t D.t ,May you receive the ribs from upon the slaughter-block for ever and ever.
1030, stp=k xpS Hr nm.t wr.t ,And that you are to butcher the foreleg upon the great slaughter-block.
1031,[n] iwt(i) it=k msi Tw m rmT.w,[For] you do not have a father who could bear you among men.
1032,n iwt(i) mw.t=k m rmT.w ms.ti Tw,For you have no mother among men who could bear you.
1033,n iwt(i) it.w=k m rmT.w n iwt(i) mw.wt=k m rmT.w,"For you have no father among men, and no mother among men."
1034,[n] it=k ms Tw m rmT.w,There is [no] father who bore you among men.
1035,n it=k m rmT n mw.t=k m rmT,You have no father among men; you have no mother among men.
1036,Xnm=f Tw [sxm.t(i) m] Sma m Hr pn sxm=k [im=f ],"Let him join you, [your"
1037,sxm im=sn,Have power through them!
1038,[Di.n n=k Hr fd=f ipw ms].w sxm=k im=sn,"[To you has Horus given these four children of his], through whom you are powerful."
1039,Szp n=k t=k pn srf Hnq.t=k iptn srf.t pr.t m pr=k DD.w n=k,"Receive this your warm bread, and this your warm beer which went forth from your house, and this which is given to you!"
1040, d Tw Hr gs=k wnm(.i) ir t pn srf ir.n(=i) n=k ,"Put yourself upon your right side, for this warm bread which I have prepared for you!"
1041, t=k s{T}<r>f xr Nt. pw ra nb ,Your warm bread is with Neith every day.
1042,t=k srf Nt. pw xnti nTr.w,"Your warm bread, O Neith, is before the gods."
1043, Htm=k Tw m wrr.t=f wnm=k t ,May you provide yourself with his Wereret- crown; may you eat bread.
1044,iT=f wrr.t xr Hr nb pa.t,"That he seize hold of the Wereret-crown by Horus, lord of princes."
1045, iT=k wrr.t im=s xr nTr.w ,May you seize the Wereret-crown by it before the gods.
1046,iT n=k wrr.t=sn,Take their Wereret-crown!
1047,iT=k wrr.t im=s xnti nTr.w,Even that you seize the Wereret-crown before the gods by it.
1048,T. pw wr wDA wrr.t,"For Teti is the great one, sound of Wereret-crown."
1049,wrr.t=k n=k tp=k,Your Wereret-crown yours upon you.
1050,iT n=k wrr.t aA.t,Seize the great Wereret-crown!
1051,Twt wrr.ti m tA-wr,You are he of the Wereret-crown in the Thinite nome.
1052,iT P. wrr.t im mr Hr zA tm,Pepi seizing the Wereret-crown there like Horus son of Atum.
1053,intsn {ntisn} iT=sn wrr.t m-ab psD.ti,"They are ones who will seize the Wereret- crown, in the company of the two Enneads."
1054,iT n=k wrr.t sbA is wa.t(i) sk xft(i)w,"Seize the Wereret-crown as the sole star, the one who destroys enemies!"
1055,wrr.t=f tp=f,And his Wereret-crown upon him.
1056, iT=k wrr.t im=s m-m nTr.w ,May you seize the Wereret-crown by it among the gods.
1057, [ iT n]=T wrr.t [sbA is wa.ti sk xft(i)w] ,Seize the Wereret-crown [as the sole star who destroys enemies]!
1058, xf a W. pn wrr.t m-a psD.ti ,Let Unas grasp the Wereret-crown from the two Enneads.
1059, iT n=k wrr.t m Aaa.w wr.w aA.w xntiw THnw ,Take the Wereret-crown from the twice great A’a’a who are at the forefront of Libya!
1060,[ pXr.n]=f wrr.t,And [has gone around ( i.e. taken possession of )] the Wereret-
1061, wTz P. pn HD.t ir.t Hr wsr.t im ,"That Pepi may raise up ( i.e. wear) the white crown, the eye of Horus by which one is strong."
1062,Szp.n=f HD.t wAD.t,With him having received the white and green crowns.
1063,M.n pw xf a HD.t tpi Sb.t wAD.t,"Merenre is one who grasps the white crown, first one of the curl of the green crown."
1064, Xr(i) mDA(.t) nTr siA wnm.t(i) ra ,"The one bearing the god’s book, Sia, the one at the right of Re."
1065,a n(i) W. m a ra,The writ of Unas is the writ of Re.
1066,nb Htp.w Di=f n=k a=k,The lord of offerings ( i.e. Re) giving you your writ.
1067,iw rDi n=f a m sxm-wr in sAH it nTr.w,"A writ (for) being the great power (sc. Re) has been given to him by Orion, father of the gods."
1068,d=f zS n P. pn ir a=f tp(i) nDm.w sT,"Let him (sc. Medi, i.e. Re) give a writing to Pepi to be his writ, the one who is upon sweetness of scent."
1069,gm=k P. pn [ im] r-HA.t a=k m /// . . . ///,May you find Pepi [there] before your writ as /// . . . ///.
1070,ir.n n=f it=i ib=f,My father has made his heart for himself.
1071,wAH n=k ib=k m s.t=f,And your heart is set in its place for you.
1072,Szp n=k ib=k n(i) D.t=k,Receive your own heart (lit. your heart of your body)!
1073,<iT> {Tt} n[=k a=k r ib=k,<Take> [your hand to your heart]!
1074,rDi n=k ib=k m X.t[=k],Your heart having been put into [your] body.
1075,hny n W.,Henu-exultation to Unas!
1076,hn n P. pn,Henu-exultation to Pepi!
1077,hny n P. pn hny n kA=f,"Henu-exultation to Pepi, Henu-exultation to his Ka!"
1078,hn n M.n,Henu-exultation to Merenre!
1079, ir P. hny hny m-m=Tn n kA{=i}=f n abA tA.wi n iri-pa.t nTr.w m /// /// ,"Let Pepi do the Henu-gesture, the Henu-gesture, among you, for {my} his Ka, for the controller of the two lands, for the prince of the gods in /// ///."
1080,hny n T. hny n kA n(i) T.,"Henu-exultation to Teti, Henu-exultation to the Ka of Teti!"
1081,aHa n=k mniw,The Herdsman will attend you.
1082, aHa n=k mniw xnti itr.ti inp is xnti zH-nTr ,"With the Herdsman attending you before the two chapel rows, (he) being Anubis foremost of the god’s booth."
1083,aHa n=k mniw,The Herdsman will attend you.
1084,aHa mniw,Then the Herdsman attends (sc. him).
1085,aHa mniw Hms psD.ti,As the Herdsman attends and the two Enneads sit.
1086,sAq n=k a.wt=k,Collect your limbs!
1087,sAq n=k qs.w=k,Collect your bones!
1088,sAq n=k qs.w=k,Collect your bones!
1089,sAq n=k qs.w=k,Collect your bones!
1090,sAq n=k a.wt=k,Collect your limbs!
1091,sAq n=k qs.w=k,Collect your bones!
1092,sAq n=k iwf=k,Collect your flesh!
1093,ir n=k W. hnn hnn,Let Unas make Henu-gesture and again for you.
1094,ir W. hni hn.t(i)t,And Unas makes Henu-gesture and that which pertains to it.
1095, ir P. hny hny m-m=Tn n kA{=i}=f n abA tA.wi n iri-pa.t nTr.w m /// /// ,"Let Pepi do the Henu-gesture, the Henu-gesture, among you, for {my} his Ka, for the controller of the two lands, for the prince of the gods in /// ///."
1096,inq n=k qs.w=k,Draw together your bones!
1097, Tz n=k tp=k inq n=k a.wt=k ,"Bind together your head, draw together your limbs!"
1098,inq n=k qs.w=k,Draw together your bones!
1099,inq n=k qs.w=k,Draw together your bones!
1100,inq n=k qs.w=k,Draw together your bones!
1101,in[q] n=k qs.w=k,Draw together your bones!
1102,wn W. xns,Let Unas open the double-doors.
1103,n P. is pw anx bik wbA qbH,"Because Pepi is the living one, the falcon who opens the firmament."
1104,wbA Ne. qbHw,That Neferkare open the firmament.
1105,wab a W. in ir s.t=f,The hand of Unas pure by the one who made his place.
1106,ir s(.t) n W.,Make a place for Unas!
1107,ir=f s.t Ne.,Then he will make the place of Neferkare.
1108,iry Ne. s.t=f wsir is,Let Neferkare make his place as Osiris.
1109, ir n=k s.t=k m xnti-imn.tiw ,For your place has been made for you as
1110, Hzmn=k m ab Sms.w-Hr ,Your natron ( i.e. purification) is the purification of the followers of Horus.
1111,nTr(w)=k nTr(w) Hr nTr(w)=k nTr(w) stS nTr(w)=k nTr(w) DHw.ti nTr(w)=k nTr(w) dwn-an.wi,"Your purification is the purification of Horus, of Seth, of Thoth, of Dun’anwi."
1112, ab.w=k ab.w nTr.w i.Sm.w xr kA.w=sn ,Your purification is the purification of the gods who have gone to their Kas.
1113, ab.w=k ab.w nTr.w nb.w xr(i)t i.Sm.w xr kA.w=sn ,"Your purification is the purification of the gods, the lords of things, those who have gone to their Kas."
1114,ab.w=k ab.w Sw ab.w=k ab.w tfn.t,Your purification is the purification of Shu: your purification is the purification of Tefenut.
1115,wab.w Ne. wab.w=sn,The purification of Neferkare is their purification.
1116, in i.xma wp.wt imi kHA.w spH sn n W. ,"It is the one who grasps the horns of those who are in Kehau, who lassoes them for Unas."
1117, xma Tw T. Hr wbn.w=k ,Let Teti take hold of you by your shinings ( i.e. by your horns).
1118,wrm Hr nw.t m wp.t,With Horus grasping Nut by the horns.
1119,rDi.n Hr xma n=k nTr.w Dr bw Sm=k im,"Horus has caused that the gods be gathered for you, even at the place where you went."
1120,i.xma.n n=k Hr nTr.w,Horus has gathered the gods for you.
1121, rDi.n Hr xma n=k nTr.w Dr bw nb Sm.n=k im ,"For Horus has caused that the gods be gathered for you, at every place you went."
1122,ip.n n=k sn Hr zmA.w,For you has Horus the uniter reckoned ( i.e. assembled) them.
1123,rDi.n Hr aHa=k,Horus has caused that you arise.
1124,Di=f aHa=k,That he may cause that you arise.
1125,Di(=i) aHa=k,That I may cause you to arise.
1126,iw.n(=i) m [xsf ]=k ink Hr,"I have come in [approaching] you, for I am Horus."
1127, i.n=i Hr=k xa.k(i) m ni-sw.t qA.k(i) m wp-wA.wt ,"I have come to you even as king, on high as Wepwawet."
1128,iw.n(=i) m zxn=k,I have come even in seeking you.
1129, i{q}w.n(=i) in(=i) n=k ir(.t) Hr ,"I have come, even bringing you the eye of Horus."
1130,iw.n(=i) in(=i) n=k ir.ti Hr n(i)t(i) D.t=f,"I have come, even bringing you Horus’s own eyes."
1131,iw.n(=i) in.n(=i) n=k ir.ti Hr pD.t ib=f,"I have come, even having brought you the eyes of Horus, that which pleases him."
1132,iw.n Hr iab=f kw,"Horus has come, only that he may unite you."
1133,i.n(=i) in(=i) n=k wAD.w,"I have come, even bringing you green eye-paint."
1134,iw Hr im=s,Horus coming by it.
1135,i Hr [mH m mD.t zxn].n=f it=f wsir,"Horus comes, [the one who fills with oil,] even having [sought] his father Osiris."
1136,iw.n(=i) xr=T,To you have I come.
1137,i r=Tn(i) Hr xsbD-ir(.ti),Horus blue of eyes comes toward the two of you.
1138,iw.n Hr zxn=f Tw,"Horus has come, only in seeking you."
1139, iw.n Hr ip=f kw ,"Horus has come, even that he may reckon you."
1140, i Hr ip=f Tw m-a nTr.w ,Horus comes that he may reckon you among the gods.
1141,pr n=k xnt(i) mn.wt=f,As Khentimenutef (sc. Horus) comes forth to you.
1142,i Hr,For Horus comes.
1143, iw=i Di=i n=k [ ir.t] Hr ,I come even that I may give you the [eye] of Horus.
1144,iw.n(=i) wdn.n(=i) pr pn n P. pn,I have come: I have presented this house to Pepi.
1145,iw.n=f ip=f it=f wsir P.,He has come even that he reckon his father Osiris Pepi.
1146,i Hr /// . . . /// [wsir] P.,Horus comes /// . . . /// [Osiris] Pepi.
1147, iw.n(=i) xr=k hrw=k pn Dr xAw ,"To you have I come, on this your day at twilight."
1148, i.n(=i) ir=k wab(=i) Tw ,"I have come to you, even that I may purify you."
1149,m-k(w) sw i.y xsf=f im=f,"Behold, he is come that he meet you."
1150,iw.n(=i) [zxn(=i) Tw i]w.n(=i) xw(=i) Tw,"I have come [only in seeking you]: I have come, only that I may protect you."
1151,ink Hr iw.n(=i) xw(=i) Tw i/// /// Hr ir.t.n=f ir=k,I am Horus. I have come that I may protect you /// /// from what he did to you.
1152,iw.n(=i) xr=k,I have come to you.
1153, iw.n(=i) in(=i) n=k ir(.t) Hr imit tA( i.t)=s ,"I have come, even bringing you the eye of Horus which is in its shroud."
1154,i n=k Hr Htm bA.w[=f ],"Horus comes to you, even provided with [his] might."
1155, i n=k Hr wDa=f zA r nwH.w=k xAa=f mD.wt=k ,"Horus comes to you even that he cut the byre from your bonds, that he cast off your bonds."
1156,i r=f Hr,Thus does Horus come.
1157,i r=k ir zpA,Come to Zepa!
1158, xr Hr n ir.t=f zbn kA n Xr(i)w(i)=f(i) ,Horus is fallen because of his eye; the
1159, xr Hr Hr ir.t=f pAz stS Hr Xr(i)w(i)=f(i) ,Horus is fallen because of his eye; Seth suffers because of his testicles.
1160, xr m pf gs n(i) mr-nxA(i) ,When he is landed on that side of the shifting waterway.
1161,xr m gs iAb.t(i) n(i) p.t,When he is landed in the eastern side of the sky.
1162,mH.n kw Hr m ir(.t)=f tm.ti,With his eye has Horus filled you completely.
1163, mH.n kw Hr tm.ti m ir.t=f m-tp wAH.t ,Upon the oblation has Horus filled you completely with his eye.
1164,mH.n Hr ir.t=f Sw.t m ir.t=f mH.t,After Horus filled his empty eye with his full eye.
1165,i Hr mH m [mD.t] zxn.n=f it=f wsir,"Horus comes, the one who fills with [oil,] even having sought his father Osiris."
1166,mH.n sw Hr m mD.t,With oil has Horus filled himself.
1167,mH.n Hr ir.t=f m mD.t,With oil has Horus filled his eye.
1168,gm.n=f sw Hr gs=f m gHs.ti,Having found him upon his side in Gehesti.
1169,gm.n Tw Hr,Horus has found you.
1170,gm.n Tw Hr,Horus has found you.
1171,gm(=i) Tw,As I find you.
1172,gm.n=f sw dy Hr gs=f,Finding him put upon his side.
1173,sia.n n=k Hr nTr.w,Horus has made the gods rise up to you.
1174,sia.n=f n=k sn,He has made them rise up to you.
1175,sia.n=f n=k sn m ar.w,He has caused that they rise up with brushes.
1176,/// sia Tn n=f sHD=Tn /// ///,[Horus] who causes you to rise up to him in order that you brighten /// ///.
1177,Di.n(=i) n=k Hr,As Horus has given to you.
1178,rDi.n(=i) n=k Hr,As Horus has given to you.
1179,ip=f n=k ib.w=sn,That he may reckon ( i.e. assemble & give) their hearts to you.
1180,in.n=f n=k ib.w nTr.w,He has brought you the hearts of the gods.
1181,in(.n=i) n=k ib=k d(=i) n=k sw m X.t=k,I have brought you your
1182,in(.n=i) n=k ib=k m X.t=k d.n(=i) sw m s.t=f,I have brought your heart into your body: I have put it in its place.
1183,[i ]w.n(=i) xw(=i) Tw,"I have come, only that I may protect you."
1184,Hr xw m Xnw-a.(w)y=k(i),Horus who protects is within your embrace.
1185, xw.n(=i) Tw m-a nw-tknw m Sna.t ir(i)t Hr(=i) ,"I have protected you from Nuteknu, by that which repels which is at my face."
1186,f A.n Tw Hr m rn=f n(i) Hnw ,"Horus has raised you, in his name of ‘Henu-bark.’"
1187,f A.n kw Hr m Hnw,Horus has lifted you in the Henu-bark.
1188,f( A) kw Hr m a.wi=f(i),Let Horus raise you in his arms.
1189,f A.n Tw Hr m rn=f n(i) ///,Horus has lifted you in his name of ///.
1190,f A Hr M.,Let Horus lift up Merire.
1191,ip Tw Hr rnpw.i rnpw.t(i) m rn=k mw rnpw,"Let Horus the rejuvenated reckon you,"
1192,ip=f it=f im=k m rn=k n(i) bA it rp.t,"Reckoning his father in you, in your name"
1193, iw.n Hr ip=f kw ,"Horus has come, even that he may reckon you."
1194, i Hr ip=f Tw m-a nTr.w ,Horus comes that he may reckon you among the gods.
1195, ip kw Hr rnpw.i rnpw.t(i) m rn=k pw n(i) mw rnpw ,"Let Horus the rejuvenated reckon you, you being rejuvenated, in this your name of ‘fresh water.’"
1196,iw.n=f ip=f it=f wsir P.,He has come even that he reckon his father Osiris Pepi.
1197,nD.n Tw Hr n Dd.n nD=f Tw,"For Horus has saved you, once and for all."
1198,i.nD=f Tw m rn=f n(i) Hr zA nD it=f,"Him saving you, in his name of ‘Horus, the son who saves his father.’"
1199,i.nD=f Tw,That he may save you.
1200,i.nD=f Tw,Him saving you.
1201, nD.n=f Tw m nDD m tr=f ,He has saved you as one who is to be saved in his time.
1202,nD.n zA it=f nD.n Hr wsir,The son has saved his father: Horus has saved Osiris.
1203,i.nD Tw Hr,Let Horus save you.
1204,i.nD=f it=f wsir M. pn Ds=f,In his own saving of his father Osiris Merire.
1205,nD.n kw Hr xpr.ti m kA=f,"For Horus has saved you, you having come to be as his Ka."
1206, nD.n Hr it=f im(i)=k ,Horus has saved his father who is in you.
1207,iw nD.n=i Tw it(=i) wsir M.n m-a ir mr.t ir=k,"I have saved you, O my father Osiris Merenre, from the one who did ill against you."
1208,i.nD(=i) kw,That I may save you.
1209,in<k> nD kw n Dd.n nD(=i) kw,<I am> the one who saves you once and for all.
1210,nD.n kw Hr,For Horus has saved you.
1211,i.nD=f Tw,Him saving you.
1212,wr.w mr Hr i.nD=f it=f,"The great ones, like Horus who saves his father."
